OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCycle6,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDCansRate6,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDEmbryosRate6,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDImplant6,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDeSETRate6,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDHealthSnglLBRate6,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDSnglLBRate6,FshNDTwinlLBRate1,FshNDTwinlLBRate2,FshNDTwinlLBRate3,FshNDTwinlLBRate4,FshNDTwinlLBRate5,FshNDTwinlLBRate6,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDLvBirthsRate6,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDPregRate6,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDTransfers6,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,FshNDHealthSnglLB_TransRate6,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDSnglLB_TransRate6,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDTwinLB_TransRate6,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDLvBirths_TransRate6,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDTransPregRate6,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTotCycles6,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDTransfers6,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEstTransPerRetrievRate6,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDEmbryosRate6,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDImplant6,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,ThwNDHealthSnglLB_TransRate6,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDSnglLB_TransRate6,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDTwinLB_TransRate6,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDLvBirths_TransRate6,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDTransPregRate6,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankingCycles6,FshDnrTotCycles,ThwDnrTotCycles,FshDnrTransfers,ThwDnrTransfers,FshDnrEmbryosRate,ThwDnrEmbryosRate,FshDnrImplant,ThwDnrImplant,FshDnrHealthSnglLB_TransRate,ThwDnrHealthSnglLB_TransRate,FshDnrSnglLB_TransRate,ThwDnrSnglLB_TransRate,FshDnrTwinLB_TransRate,ThwDnrTwinLB_TransRate,FshDnrLvBirths_TransRate,ThwDnrLvBirths_TransRate,FshDnrTransPregRate,ThwDnrTransPregRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
148,ADVANCED REPRODUCTIVE CENTER OF HAWAII,,HONOLULU,HAWAII,100%,87%,1%,0%,3%,19%,3%,43%,16%,2%,78%,2%,<1%,3%,58%,169,2,"Christopher T. Huang, MD",21,22,21,13,14,4,14.3,4.5,14.3,1 / 13,1 / 14,0 / 4,1.8,2.0,2.7,2.8,3.5,2.0,46.7,35.0,25.6,3.6,0.0,0 / 6,2 / 16,1 / 19,0 / 14,0 / 9,0 / 11,0 / 1,38.1,18.2,28.6,1 / 13,0 / 14,0 / 4,47.6,18.2,33.3,1 / 13,0 / 14,0 / 4,4.8,13.6,4.8,0 / 13,0 / 14,0 / 4,52.4,31.8,38.1,1 / 13,0 / 14,0 / 4,61.9,45.5,52.4,1 / 13,1 / 14,0 / 4,18,21,18,10,12,3,8 / 18,19.0,6 / 18,1 / 10,0 / 12,0 / 3,10 / 18,19.0,7 / 18,1 / 10,0 / 12,0 / 3,1 / 18,14.3,1 / 18,0 / 10,0 / 12,0 / 3,11 / 18,33.3,8 / 18,1 / 10,0 / 12,0 / 3,13 / 18,47.6,11 / 18,1 / 10,1 / 12,0 / 3,11,4,7,3,1,1,10,4,5,2,1,1,0.7,0.5,0.8,,0.2,1.0,1.7,2.0,2.2,2.0,3.0,1.0,8 / 17,8 / 8,2 / 11,0 / 4,0 / 3,0 / 1,2 / 10,1 / 4,0 / 5,0 / 2,0 / 1,0 / 1,2 / 10,1 / 4,0 / 5,0 / 2,0 / 1,0 / 1,3 / 10,3 / 4,1 / 5,0 / 2,0 / 1,0 / 1,5 / 10,4 / 4,1 / 5,0 / 2,0 / 1,0 / 1,5 / 10,4 / 4,1 / 5,0 / 2,0 / 1,0 / 1,12,7,6,0,4,1,11,4,10,4,1.8,2.0,11 / 18,6 / 8,2 / 10,1 / 4,4 / 10,2 / 4,3 / 10,2 / 4,7 / 10,4 / 4,8 / 10,4 / 4,Advanced Reproductive Center of Hawaii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,HI
149,"ADVANCED REPRODUCTIVE MEDICINE & GYNECOLOGY OF HAWAII, INC.",,HONOLULU,HAWAII,100%,87%,0%,0%,<1%,23%,29%,21%,9%,8%,90%,<1%,7%,<1%,71%,335,11,"John L. Frattarelli, MD",46,27,21,15,2,2,6.5,11.1,4.8,2 / 15,0 / 2,0 / 2,2.0,2.2,2.6,2.9,4.0,3.0,41.9,31.9,27.1,12.9,0 / 4,0 / 3,2.4,0.0,0 / 19,0 / 12,0 / 1,0 / 1,34.8,40.7,28.6,1 / 15,0 / 2,0 / 2,45.7,40.7,33.3,1 / 15,0 / 2,0 / 2,10.9,7.4,9.5,1 / 15,0 / 2,0 / 2,56.5,48.1,42.9,2 / 15,0 / 2,0 / 2,65.2,51.9,52.4,5 / 15,0 / 2,0 / 2,43,22,19,13,1,1,37.2,50.0,6 / 19,1 / 13,0 / 1,0 / 1,48.8,50.0,7 / 19,1 / 13,0 / 1,0 / 1,11.6,9.1,2 / 19,1 / 13,0 / 1,0 / 1,60.5,59.1,9 / 19,2 / 13,0 / 1,0 / 1,69.8,63.6,11 / 19,5 / 13,0 / 1,0 / 1,34,15,17,4,3,3,33,15,17,3,3,3,1.0,0.8,0.9,0.8,0.5,0.2,1.9,1.8,1.6,2.0,1.3,1.3,68.5,76.0,53.8,1 / 2,2 / 2,1 / 4,42.4,7 / 15,8 / 17,1 / 3,1 / 3,1 / 3,54.5,8 / 15,10 / 17,1 / 3,1 / 3,1 / 3,24.2,2 / 15,2 / 17,0 / 3,0 / 3,0 / 3,78.8,11 / 15,12 / 17,1 / 3,1 / 3,1 / 3,90.9,13 / 15,13 / 17,3 / 3,3 / 3,1 / 3,26,18,15,4,5,19,3,45,2,43,2.0,1.9,4 / 4,64.4,0 / 2,27.9,0 / 2,44.2,2 / 2,30.2,2 / 2,74.4,2 / 2,88.4,"Advanced Reproductive Medicine & Gynecology of Hawaii, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,HI
150,IVF HAWAII,,HONOLULU,HAWAII,100%,79%,0%,0%,0%,19%,17%,45%,56%,0%,63%,7%,0%,25%,48%,135,0,"Benton HH Chun, MD",36,23,19,18,8,1,8.3,30.4,1 / 19,5 / 18,3 / 8,0 / 1,1.3,1.7,2.4,3.3,2.8,1.0,67.6,30.8,16.7,13.9,0 / 6,0 / 1,75.0,4 / 14,0 / 13,1 / 11,0 / 3,,33.3,26.1,4 / 19,3 / 18,0 / 8,0 / 1,41.7,30.4,4 / 19,3 / 18,0 / 8,0 / 1,2.8,0.0,1 / 19,0 / 18,0 / 8,0 / 1,44.4,30.4,5 / 19,3 / 18,0 / 8,0 / 1,55.6,34.8,5 / 19,5 / 18,1 / 8,0 / 1,27,15,15,11,5,1,44.4,6 / 15,4 / 15,3 / 11,0 / 5,0 / 1,55.6,7 / 15,4 / 15,3 / 11,0 / 5,0 / 1,3.7,0 / 15,1 / 15,0 / 11,0 / 5,0 / 1,59.3,7 / 15,5 / 15,3 / 11,0 / 5,0 / 1,74.1,8 / 15,5 / 15,5 / 11,1 / 5,0 / 1,8,4,5,2,0,0,7,4,3,2,0,0,1.8,4.0,,,,,1.3,1.5,2.7,2.5,,,1 / 9,3 / 6,1 / 8,0 / 5,,,1 / 7,3 / 4,1 / 3,0 / 2,,,1 / 7,3 / 4,1 / 3,0 / 2,,,0 / 7,0 / 4,0 / 3,0 / 2,,,1 / 7,3 / 4,1 / 3,0 / 2,,,1 / 7,3 / 4,1 / 3,0 / 2,,,1,0,0,0,0,0,6,4,5,4,1.5,1.8,0 / 5,5 / 7,0 / 5,1 / 4,0 / 5,1 / 4,0 / 5,1 / 4,0 / 5,2 / 4,1 / 5,3 / 4,IVF Hawaii,Yes,No,Yes,No,Yes,No,Yes,0,HI
151,PACIFIC IN VITRO FERTILIZATION INSTITUTE,,HONOLULU,HAWAII,100%,79%,0%,1%,2%,15%,6%,43%,33%,1%,30%,6%,<1%,9%,19%,492,0,"Thomas S. Kosasa, MD",50,42,41,36,20,11,6.0,16.7,7.3,22.2,25.0,2 / 11,2.0,2.5,3.1,3.3,3.3,2.3,37.2,14.5,12.8,4.9,3.3,0 / 18,10.5,0.0,0.0,0 / 19,0 / 7,0 / 7,16.0,14.3,12.2,2.8,0.0,0 / 11,20.0,14.3,14.6,2.8,0.0,0 / 11,14.0,2.4,2.4,2.8,0.0,0 / 11,34.0,16.7,19.5,5.6,0.0,0 / 11,40.0,19.0,24.4,8.3,5.0,0 / 11,39,24,32,25,9,8,20.5,25.0,15.6,4.0,0 / 9,0 / 8,25.6,25.0,18.8,4.0,0 / 9,0 / 8,17.9,4.2,3.1,4.0,0 / 9,0 / 8,43.6,29.2,25.0,8.0,0 / 9,0 / 8,51.3,33.3,31.3,12.0,1 / 9,0 / 8,25,23,16,9,5,1,24,21,14,8,5,1,1.6,3.0,2.0,2.7,5.0,1.0,2.0,2.0,2.2,1.9,2.4,1.0,35.4,42.5,16.1,6 / 15,2 / 7,0 / 1,12.5,33.3,1 / 14,1 / 8,1 / 5,0 / 1,12.5,47.6,2 / 14,2 / 8,2 / 5,0 / 1,12.5,4.8,0 / 14,1 / 8,0 / 5,0 / 1,25.0,52.4,2 / 14,3 / 8,2 / 5,0 / 1,50.0,61.9,4 / 14,4 / 8,4 / 5,0 / 1,4,0,4,0,0,1,117,87,105,80,1.9,1.9,44.6,42.6,21.0,17.5,28.6,27.5,22.9,18.8,51.4,46.3,60.0,55.0,Pacific In Vitro Fertilization Institute,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,HI
152,TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,,TRIPLER AMC,HAWAII,100%,87%,0%,0%,0%,32%,18%,10%,8%,0%,42%,8%,12%,8%,16%,51,0,"Nia Middleton, MD",20,19,4,2,0,0,5.0,2 / 19,1 / 4,0 / 2,,,1.9,2.4,2.3,2.0,,,29.7,21.6,1 / 7,0 / 4,,,0 / 17,0 / 16,0 / 3,0 / 1,,,25.0,1 / 19,1 / 4,0 / 2,,,25.0,2 / 19,1 / 4,0 / 2,,,15.0,1 / 19,0 / 4,0 / 2,,,40.0,4 / 19,1 / 4,0 / 2,,,40.0,6 / 19,1 / 4,0 / 2,,,19,16,3,2,0,0,5 / 19,1 / 16,1 / 3,0 / 2,,,5 / 19,2 / 16,1 / 3,0 / 2,,,3 / 19,1 / 16,0 / 3,0 / 2,,,8 / 19,4 / 16,1 / 3,0 / 2,,,8 / 19,6 / 16,1 / 3,0 / 2,,,2,3,0,0,0,0,2,2,0,0,0,0,1.0,1.0,,,,,2.0,2.0,,,,,0 / 2,2 / 4,,,,,0 / 2,0 / 2,,,,,0 / 2,0 / 2,,,,,0 / 2,1 / 2,,,,,0 / 2,1 / 2,,,,,1 / 2,1 / 2,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Tripler Army Medical Center IVF Institute,No,No,Yes,No,Yes,Yes,Yes,0,HI
153,IDAHO CENTER FOR REPRODUCTIVE MEDICINE,,BOISE,IDAHO,100%,61%,0%,2%,2%,18%,10%,36%,8%,7%,42%,12%,7%,10%,22%,380,1,"Cristin C. Slater, MD",87,24,19,9,4,0,2.3,4.2,5 / 19,0 / 9,0 / 4,,1.9,2.3,2.4,2.7,2.7,,39.2,40.8,24.1,14.3,0 / 8,,1.4,0.0,0 / 11,0 / 9,0 / 2,,18.4,37.5,4 / 19,1 / 9,0 / 4,,21.8,37.5,4 / 19,2 / 9,0 / 4,,16.1,12.5,1 / 19,0 / 9,0 / 4,,40.2,50.0,5 / 19,2 / 9,0 / 4,,44.8,54.2,5 / 19,4 / 9,0 / 4,,77,21,12,9,3,0,20.8,42.9,4 / 12,1 / 9,0 / 3,,24.7,42.9,4 / 12,2 / 9,0 / 3,,18.2,14.3,1 / 12,0 / 9,0 / 3,,45.5,57.1,5 / 12,2 / 9,0 / 3,,50.6,61.9,5 / 12,4 / 9,0 / 3,,56,16,16,3,1,0,54,16,15,3,1,0,1.9,0.8,1.3,0.5,0.2,0.0,1.7,1.7,1.7,2.0,2.0,,28.4,40.7,14.3,1 / 6,0 / 2,,16.7,2 / 16,1 / 15,0 / 3,0 / 1,,27.8,4 / 16,1 / 15,0 / 3,0 / 1,,5.6,3 / 16,0 / 15,0 / 3,0 / 1,,33.3,7 / 16,1 / 15,0 / 3,0 / 1,,42.6,8 / 16,5 / 15,1 / 3,0 / 1,,16,18,9,5,6,4,18,68,17,68,1.8,1.9,59.3,45.0,9 / 17,20.6,10 / 17,29.4,2 / 17,16.2,12 / 17,47.1,15 / 17,66.2,Idaho Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,ID
154,RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,,AURORA,ILLINOIS,100%,79%,0%,2%,0%,12%,20%,15%,15%,5%,15%,45%,2%,21%,7%,131,0,"Zvi Binor, MD",53,21,15,9,6,2,7.5,23.8,6 / 15,2 / 9,2 / 6,1 / 2,1.9,1.9,1.7,1.8,2.3,1.0,26.5,17.2,2 / 12,1 / 9,0 / 9,0 / 1,0.0,0 / 13,0 / 5,0 / 3,0 / 4,,9.4,14.3,2 / 15,1 / 9,0 / 6,0 / 2,11.3,14.3,2 / 15,1 / 9,0 / 6,0 / 2,11.3,4.8,0 / 15,0 / 9,0 / 6,0 / 2,22.6,19.0,2 / 15,1 / 9,0 / 6,0 / 2,26.4,19.0,2 / 15,1 / 9,0 / 6,0 / 2,44,15,7,5,4,1,11.4,3 / 15,2 / 7,1 / 5,0 / 4,0 / 1,13.6,3 / 15,2 / 7,1 / 5,0 / 4,0 / 1,13.6,1 / 15,0 / 7,0 / 5,0 / 4,0 / 1,27.3,4 / 15,2 / 7,1 / 5,0 / 4,0 / 1,31.8,4 / 15,2 / 7,1 / 5,0 / 4,0 / 1,10,1,0,1,1,0,10,1,0,1,1,0,2.5,,,,1.0,,1.8,1.0,,2.0,1.0,,2 / 18,0 / 1,,0 / 2,0 / 1,,2 / 10,0 / 1,,0 / 1,0 / 1,,2 / 10,0 / 1,,0 / 1,0 / 1,,0 / 10,0 / 1,,0 / 1,0 / 1,,2 / 10,0 / 1,,0 / 1,0 / 1,,2 / 10,0 / 1,,0 / 1,0 / 1,,1,0,0,0,0,0,6,5,5,5,2.0,2.2,3 / 10,0 / 11,0 / 5,0 / 5,1 / 5,0 / 5,1 / 5,0 / 5,2 / 5,0 / 5,2 / 5,0 / 5,Rush-Copley Center for Reproductive Health,Yes,No,Yes,Yes,Yes,No,Yes,0,IL
155,"MARTIN S. BALIN, MD, PHD",,CHICAGO,ILLINOIS,100%,64%,0%,0%,0%,7%,0%,20%,0%,0%,7%,0%,73%,0%,7%,15,0,"Martin S. Balin, MD, PhD",4,2,3,2,0,0,0 / 4,0 / 2,0 / 3,0 / 2,,,2.0,2.0,2.0,3.0,,,3 / 8,1 / 4,1 / 6,0 / 3,,,0 / 4,0 / 2,0 / 2,0 / 1,,,0 / 4,1 / 2,1 / 3,0 / 2,,,0 / 4,1 / 2,1 / 3,0 / 2,,,0 / 4,0 / 2,0 / 3,0 / 2,,,0 / 4,1 / 2,1 / 3,0 / 2,,,2 / 4,1 / 2,1 / 3,0 / 2,,,4,2,3,1,0,0,0 / 4,1 / 2,1 / 3,0 / 1,,,0 / 4,1 / 2,1 / 3,0 / 1,,,0 / 4,0 / 2,0 / 3,0 / 1,,,0 / 4,1 / 2,1 / 3,0 / 1,,,2 / 4,1 / 2,1 / 3,0 / 1,,,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,,,1.7,,,,,,2 / 5,,,,,,0 / 3,,,,,,1 / 3,,,,,,0 / 3,,,,,,1 / 3,,,,,,2 / 3,,,,,0,0,0,0,0,0,1,0,1,0,2.0,,2 / 2,,0 / 1,,0 / 1,,1 / 1,,1 / 1,,1 / 1,,"Martin S. Balin, MD, PhD",Yes,No,Yes,Yes,Yes,No,Yes,0,IL
156,CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,THE UNIVERSITY OF CHICAGO,CHICAGO,ILLINOIS,>99%,50%,0%,<1%,9%,14%,21%,20%,5%,5%,28%,13%,21%,8%,15%,274,1,"Helen Kim, MD",49,42,20,15,3,0,16.3,14.3,20.0,4 / 15,1 / 3,,1.4,1.8,2.0,2.4,5.0,,37.0,26.0,3.6,11.5,1 / 10,,53.6,19.2,2 / 12,1 / 9,0 / 2,,18.4,11.9,5.0,2 / 15,1 / 3,,22.4,14.3,5.0,2 / 15,1 / 3,,4.1,4.8,0.0,0 / 15,0 / 3,,26.5,19.0,5.0,2 / 15,1 / 3,,28.6,23.8,5.0,3 / 15,1 / 3,,33,28,14,11,2,0,27.3,17.9,1 / 14,2 / 11,1 / 2,,33.3,21.4,1 / 14,2 / 11,1 / 2,,6.1,7.1,0 / 14,0 / 11,0 / 2,,39.4,28.6,1 / 14,2 / 11,1 / 2,,42.4,35.7,1 / 14,3 / 11,1 / 2,,33,38,17,4,1,1,28,37,16,2,0,1,1.3,2.2,2.7,0.4,,,1.6,1.7,1.9,3.0,,3.0,25.6,25.0,26.7,0 / 6,,,21.4,21.6,5 / 16,0 / 2,,0 / 1,28.6,24.3,5 / 16,0 / 2,,0 / 1,3.6,5.4,1 / 16,0 / 2,,0 / 1,32.1,29.7,6 / 16,0 / 2,,0 / 1,39.3,37.8,7 / 16,0 / 2,,1 / 1,9,7,2,2,0,0,11,19,8,14,1.4,1.6,4 / 11,9 / 19,3 / 8,3 / 14,3 / 8,5 / 14,0 / 8,0 / 14,3 / 8,6 / 14,4 / 8,9 / 14,"Center for Reproductive Medicine and Fertility, The University of Chicago",Yes,No,Yes,Yes,Yes,Yes,Yes,0,IL
157,FERTILITY CENTERS OF ILLINOIS- RIVER NORTH IVF,,CHICAGO,ILLINOIS,100%,84%,0%,<1%,<1%,6%,19%,28%,4%,4%,25%,12%,21%,9%,8%,"2,032",43,"Edward Marut, MD",463,245,198,123,52,7,9.5,13.1,17.2,22.8,32.7,1 / 7,1.6,1.8,2.1,2.4,2.1,3.3,42.5,32.8,22.0,16.7,7.8,0 / 10,38.2,23.7,8.3,1.4,0.0,0 / 3,29.6,20.0,16.2,7.3,3.8,0 / 7,32.6,22.9,18.2,9.8,3.8,0 / 7,7.1,6.1,3.5,2.4,0.0,0 / 7,39.7,29.0,21.7,12.2,3.8,0 / 7,45.8,38.4,30.3,25.2,5.8,0 / 7,372,190,145,80,30,3,36.8,25.8,22.1,11.3,6.7,0 / 3,40.6,29.5,24.8,15.0,6.7,0 / 3,8.9,7.9,4.8,3.8,0.0,0 / 3,49.5,37.4,29.7,18.8,6.7,0 / 3,57.0,49.5,41.4,38.8,10.0,0 / 3,264,152,101,57,15,9,254,145,96,47,14,9,1.7,1.9,1.3,0.9,0.9,2.3,1.6,1.6,1.6,1.8,1.6,1.6,45.9,35.9,27.6,23.8,26.1,4 / 12,30.7,29.0,30.2,12.8,4 / 14,2 / 9,34.3,31.7,34.4,19.1,4 / 14,2 / 9,10.2,6.2,3.1,6.4,0 / 14,0 / 9,44.9,37.9,37.5,25.5,4 / 14,2 / 9,60.6,49.0,41.7,36.2,6 / 14,5 / 9,44,38,40,37,11,3,65,65,57,60,1.7,1.6,48.4,40.9,35.1,21.7,42.1,30.0,14.0,8.3,56.1,38.3,63.2,58.3,Fertility Centers of Illinois- River North IVF,Yes,No,Yes,Yes,Yes,Yes,Yes,0,IL
158,INSTITUTE FOR HUMAN REPRODUCTION (IHR),,CHICAGO,ILLINOIS,100%,68%,<1%,0%,8%,8%,16%,32%,1%,0%,42%,17%,8%,1%,23%,383,0,"Ilan Tur-Kaspa, MD",52,34,26,14,11,0,1.9,2.9,3.8,1 / 14,1 / 11,,1.4,1.8,2.3,3.1,2.6,,47.3,39.6,25.6,3.6,1 / 18,,59.5,25.9,3 / 19,0 / 8,0 / 6,,21.2,29.4,23.1,1 / 14,1 / 11,,25.0,44.1,34.6,1 / 14,1 / 11,,9.6,2.9,3.8,0 / 14,0 / 11,,34.6,47.1,38.5,1 / 14,1 / 11,,40.4,52.9,38.5,1 / 14,1 / 11,,42,29,19,9,7,0,26.2,34.5,6 / 19,1 / 9,1 / 7,,31.0,51.7,9 / 19,1 / 9,1 / 7,,11.9,3.4,1 / 19,0 / 9,0 / 7,,42.9,55.2,10 / 19,1 / 9,1 / 7,,50.0,62.1,10 / 19,1 / 9,1 / 7,,62,35,23,8,6,9,61,35,22,8,5,9,1.2,0.9,1.5,0.7,0.8,2.3,1.2,1.5,1.2,1.1,1.4,1.3,50.7,39.2,37.0,4 / 9,5 / 6,1 / 12,29.5,31.4,18.2,1 / 8,0 / 5,1 / 9,37.7,34.3,36.4,1 / 8,2 / 5,1 / 9,6.6,8.6,0.0,1 / 8,1 / 5,0 / 9,44.3,42.9,36.4,2 / 8,3 / 5,1 / 9,59.0,51.4,45.5,3 / 8,4 / 5,1 / 9,41,26,10,10,5,4,5,2,5,2,1.6,2.0,3 / 8,4 / 4,2 / 5,0 / 2,2 / 5,0 / 2,0 / 5,2 / 2,2 / 5,2 / 2,3 / 5,2 / 2,Institute for Human Reproduction (IHR),Yes,Yes,Yes,Yes,Yes,No,Yes,0,IL
159,NORTHWESTERN UNIVERSITY,,CHICAGO,ILLINOIS,100%,83%,0%,<1%,2%,8%,11%,41%,4%,3%,35%,5%,15%,4%,15%,772,0,"Mary Ellen Pavone, MD",153,140,102,54,20,6,3.3,10.0,13.7,16.7,25.0,1 / 6,1.7,1.8,2.2,2.4,2.8,4.0,37.6,25.7,15.4,5.9,2.8,0 / 8,24.6,12.2,4.4,0.0,0 / 12,0 / 2,31.4,22.1,10.8,1.9,5.0,0 / 6,35.3,24.3,13.7,1.9,5.0,0 / 6,7.8,5.0,1.0,1.9,0.0,0 / 6,43.1,29.3,14.7,3.7,5.0,0 / 6,49.0,35.0,24.5,9.3,5.0,0 / 6,140,119,79,42,13,2,34.3,26.1,13.9,2.4,1 / 13,0 / 2,38.6,28.6,17.7,2.4,1 / 13,0 / 2,8.6,5.9,1.3,2.4,0 / 13,0 / 2,47.1,34.5,19.0,4.8,1 / 13,0 / 2,53.6,41.2,31.6,11.9,1 / 13,0 / 2,71,25,22,14,5,2,66,25,20,12,4,2,0.8,0.9,0.6,1.0,1.3,1.0,1.7,1.7,2.0,2.7,2.3,1.5,40.5,33.3,22.5,15.6,4 / 9,0 / 3,28.8,28.0,25.0,4 / 12,3 / 4,0 / 2,36.4,40.0,25.0,4 / 12,4 / 4,0 / 2,9.1,4.0,5.0,0 / 12,0 / 4,0 / 2,47.0,44.0,30.0,4 / 12,4 / 4,0 / 2,53.0,52.0,40.0,5 / 12,4 / 4,0 / 2,47,16,17,5,1,1,42,29,40,26,1.8,1.9,37.1,31.9,22.5,11.5,35.0,15.4,10.0,15.4,45.0,30.8,52.5,42.3,Northwestern University,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,IL
